"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 28 17:36:25 GMT 2021","Wed Jul 28 17:36:28 GMT 2021","2920","","Tests","","Tests","WebTest2","WebTest2()",""
"passed","Wed Jul 28 17:36:15 GMT 2021","Wed Jul 28 17:36:25 GMT 2021","10061","","Tests","","Tests","WebTest","WebTest()",""
